,Book Title,Word Count,Sentence Count,AVG Word Length,AVG Sentence Length,Total Syllables,MONOSYLL,POLYSYLL,NTR,VTR,TTR,Root TTR,Corrected TTR,BiLog TTR,LD,FWTR,MIN,MAX
17,Ang Prinsipeng Ayaw Magsalita,891,84,5.214365881032547,10.607142857142858,1874,301,590,0.21361058601134217,0.14366729678638943,0.010396975425330813,0.3381815040457401,0.2391304347826087,0.3443205885483495,0.43856332703213613,0.005671077504725898,3,10
18,Ang Unang Barangay (11-16),2405,180,5.14927234927235,13.36111111111111,5267,820,1576,0.23297754876702245,0.0916451969083548,0.004048582995951417,0.21103178186108743,0.1492220039998552,0.30325145666203457,0.41405962458594037,0.013986013986013986,11,16
19,Ang Unang Barangay (6-10),694,59,4.877521613832853,11.76271186440678,1434,244,449,0.2515964240102171,0.08556832694763729,0.0140485312899106,0.3931079294405248,0.2779692826455979,0.3598750591056337,0.4342273307790549,0.006385696040868455,6,10
20,Anim na Daliri,130,1,5.384615384615385,130.0,275,50,86,0.1411764705882353,0.08823529411764706,0.06470588235294118,0.8436614877321075,0.5965587590013045,0.4668982441950347,0.40588235294117647,0.08823529411764706,3,8
21,Antonio Luna - 1,681,52,5.424375917767988,13.096153846153847,1561,235,445,0.1955958549222798,0.12435233160621761,0.014248704663212436,0.395898662911782,0.2799426292076082,0.3606408248894841,0.41321243523316065,0.02072538860103627,6,10
22,Apolinario Mabini (6-10),580,33,5.375862068965517,17.575757575757574,1345,182,394,0.1661392405063291,0.13449367088607594,0.01740506329113924,0.4375565062966515,0.30939917275465656,0.3718307333623599,0.379746835443038,0.04746835443037975,6,10
23,Aurelio Tolentino,580,39,5.679310344827586,14.871794871794872,1401,175,400,0.19076923076923077,0.13538461538461538,0.016923076923076923,0.43145549730400484,0.305085107923876,0.37021854324055764,0.4123076923076923,0.021538461538461538,6,10
24,Bahay-Bahayan,84,12,4.988095238095238,7.0,175,27,57,0.22330097087378642,0.019417475728155338,0.06796116504854369,0.6897304947150052,0.48771311000413237,0.41985413904397634,0.47572815533980584,0.0,3,8
25,Bandilang Pilipino (11-16),864,43,5.22337962962963,20.11627906976744,1866,305,547,0.19769874476987448,0.08263598326359832,0.011506276150627616,0.355765425044233,0.25156414456049153,0.3494069444352861,0.3807531380753138,0.03138075313807531,11,16
26,Bandilang Pilipino (6-10),640,26,5.3078125,24.653846153846153,1400,232,396,0.21198830409356725,0.1067251461988304,0.01608187134502924,0.4205955120960299,0.2974059387397313,0.367327011457156,0.402046783625731,0.02046783625730994,6,10
27,Boka-Boka,49,3,9.26530612244898,16.333333333333332,148,24,38,0.12790697674418605,0.06976744186046512,0.09302325581395349,0.8626621856275073,0.6099942813304187,0.46683417420748186,0.2558139534883721,0.16279069767441862,3,10
28,Emilio Jacinto (6-10),612,38,5.578431372549019,16.105263157894736,1445,209,402,0.22011661807580174,0.1151603498542274,0.016034985422740525,0.4199819515766669,0.29697208593582136,0.3671627933462506,0.3935860058309038,0.04081632653061224,6,10
29,Ginto ng Mga Igorot - 1,725,38,5.219310344827586,19.13157894736842,1613,244,480,0.19696969696969696,0.13257575757575757,0.013888888888888888,0.39086797998528583,0.2763853991962833,0.35925885343404146,0.3977272727272727,0.007575757575757576,6,10
30,Gregorio Aglipay (6-10),669,45,5.687593423019432,14.866666666666667,1571,213,448,0.1804812834224599,0.12299465240641712,0.014705882352941176,0.40219983326992187,0.28439822949726057,0.3623619841166667,0.3663101604278075,0.04679144385026738,6,10
31,Humadapnon,566,37,5.606007067137809,15.297297297297296,1297,184,382,0.21462639109697934,0.13036565977742448,0.017488076311605722,0.438598722555895,0.31013613093903053,0.37210528111219043,0.4356120826709062,0.00794912559618442,3,10
32,Huuuups,101,6,5.415841584158416,16.833333333333332,219,34,67,0.21428571428571427,0.125,0.08035714285714286,0.8504200642707612,0.6013377943029549,0.4656617787286116,0.4375,0.008928571428571428,3,10
33,"Ibalon, Tatlong Bayani ng Epikong Bicol",617,46,5.351701782820097,13.41304347826087,1344,207,410,0.20431654676258992,0.11366906474820145,0.014388489208633094,0.37932162090544075,0.2682208903929101,0.3518667652215774,0.38273381294964026,0.012949640287769784,3,10
34,Inang Kalikasans Bad Hair Day,856,63,5.081775700934579,13.682539682539682,1824,275,590,0.19627085377821393,0.10206084396467124,0.010794896957801767,0.34459231932215123,0.2436635657374933,0.3461876279289286,0.38665358194308147,0.001962708537782139,6,12
35,Indarapatra at Sulayman,723,53,5.604426002766251,13.660377358490566,1682,252,476,0.17053364269141533,0.1357308584686775,0.01160092807424594,0.3406013516450858,0.240841525429544,0.3406566257362188,0.4060324825986079,0.03248259860788863,3,10
36,Ipapasyal Namin si Lolo,1160,126,5.158620689655172,9.238095238095237,2491,376,789,0.17952314165497896,0.10378681626928471,0.007713884992987377,0.29129492773280685,0.205976618725113,0.3301690619945382,0.38288920056100983,0.016830294530154277,8,16
37,Isang Taon na si Beth,81,17,4.851851851851852,4.764705882352941,161,23,58,0.21428571428571427,0.07142857142857142,0.09183673469387756,0.9091372900969896,0.6428571428571429,0.47922359047425844,0.336734693877551,0.02040816326530612,3,8
38,Islam (6-10),678,50,5.209439528023599,13.56,1467,220,460,0.18239795918367346,0.11862244897959184,0.01403061224489796,0.39285714285714285,0.27779194975185795,0.3598061381701167,0.38392857142857145,0.03443877551020408,6,10
39,Jose Abad Santos (6-10),650,36,5.26,18.055555555555557,1438,210,441,0.1814516129032258,0.10483870967741936,0.01478494623655914,0.4032795663087216,0.28516171605086693,0.3626558365512172,0.36693548387096775,0.07795698924731183,6,10
40,Karapat-Dapat,1565,86,5.576996805111821,18.197674418604652,3610,597,972,0.16911764705882354,0.14423076923076922,0.006221719457013574,0.26160832178497173,0.18498501834898592,0.3206769434180402,0.4061085972850679,0.005656108597285068,6,12
