,Word Count,AVG Word Length,Total Syllables,MONOSYLL,POLYSYLL,NTR,VTR,TTR,Root TTR,Corrected TTR,BiLog TTR,LD,FWTR,Age Classification
0,10,5.1,21,4,6,0.2,0.1,0.6,1.8973665961010275,1.3416407864998738,0.7781512503836435,0.4,0.0,8-12
1,15,5.066666666666666,34,4,11,0.26666666666666666,0.06666666666666667,0.4,1.5491933384829668,1.0954451150103321,0.6616418958920284,0.4,0.0,8-12
2,6,4.333333333333333,11,2,4,0.3333333333333333,0.0,0.6666666666666666,1.6329931618554523,1.1547005383792517,0.7737056144690831,0.5,0.0,8-12
3,12,5.25,27,4,8,0.25,0.16666666666666666,0.5,1.7320508075688774,1.2247448713915892,0.7210570543488701,0.5833333333333334,0.0,8-12
4,8,5.5,19,3,5,0.125,0.25,0.75,2.1213203435596424,1.5,0.8616541669070521,0.625,0.0,8-12
5,10,6.3,24,2,8,0.3,0.0,0.4,1.2649110640673518,0.8944271909999159,0.6020599913279623,0.4,0.0,8-12
6,7,6.0,17,2,5,0.2857142857142857,0.14285714285714285,0.5714285714285714,1.5118578920369088,1.0690449676496976,0.7124143742160444,0.42857142857142855,0.0,8-12
7,7,5.285714285714286,15,2,5,0.14285714285714285,0.2857142857142857,0.7142857142857143,1.889822365046136,1.3363062095621219,0.8270874753469162,0.7142857142857143,0.0,8-12
8,2,6.5,5,1,1,0.5,0.5,1.0,1.414213562373095,1.0,1.0,1.0,0.0,8-12
9,5,5.4,11,1,4,0.2,0.2,0.8,1.7888543819998317,1.2649110640673518,0.8613531161467861,0.4,0.0,8-12
10,5,4.6,11,1,4,0.6,0.0,0.6,1.3416407864998738,0.9486832980505138,0.6826061944859854,0.6,0.0,8-12
11,12,4.916666666666667,27,3,9,0.3333333333333333,0.08333333333333333,0.5,1.7320508075688774,1.2247448713915892,0.7210570543488701,0.4166666666666667,0.0,8-12
12,4,6.25,11,1,3,0.0,0.0,0.5,1.0,0.7071067811865475,0.5,0.5,0.0,8-12
13,11,5.363636363636363,28,4,7,0.2727272727272727,0.18181818181818182,0.45454545454545453,1.507556722888818,1.0660035817780522,0.6711877414712396,0.5454545454545454,0.0,8-12
14,6,6.0,14,1,5,0.3333333333333333,0.16666666666666666,0.8333333333333334,2.041241452319315,1.4433756729740645,0.8982444017039272,0.6666666666666666,0.0,8-12
15,18,4.444444444444445,35,8,10,0.3333333333333333,0.05555555555555555,0.3333333333333333,1.4142135623730951,1.0,0.6199062332840658,0.6111111111111112,0.0,8-12
16,11,5.363636363636363,26,3,8,0.18181818181818182,0.18181818181818182,0.5454545454545454,1.8090680674665818,1.2792042981336627,0.7472217363092141,0.45454545454545453,0.0,8-12
17,9,4.777777777777778,19,2,7,0.1111111111111111,0.1111111111111111,0.6666666666666666,2.0,1.4142135623730951,0.8154648767857287,0.3333333333333333,0.0,8-12
18,11,5.090909090909091,26,4,7,0.2727272727272727,0.09090909090909091,0.45454545454545453,1.507556722888818,1.0660035817780522,0.6711877414712396,0.5454545454545454,0.0,8-12
19,11,5.363636363636363,24,5,6,0.36363636363636365,0.09090909090909091,0.5454545454545454,1.8090680674665818,1.2792042981336627,0.7472217363092141,0.6363636363636364,0.0,8-12
20,29,4.620689655172414,57,10,19,0.2413793103448276,0.06896551724137931,0.20689655172413793,1.1141720290623112,0.7878385971583353,0.5321063428024535,0.4827586206896552,0.0,6-12
21,14,4.428571428571429,26,7,7,0.07142857142857142,0.14285714285714285,0.5,1.8708286933869707,1.3228756555322951,0.7373504649628064,0.42857142857142855,0.0,6-12
22,16,3.875,29,6,10,0.1875,0.0625,0.4375,1.75,1.2374368670764582,0.701838730514401,0.4375,0.0,6-12
23,8,4.875,17,3,5,0.125,0.0,0.625,1.7677669529663687,1.25,0.7739760316291208,0.25,0.0,6-12
24,7,5.428571428571429,15,2,5,0.0,0.14285714285714285,0.5714285714285714,1.5118578920369088,1.0690449676496976,0.7124143742160444,0.7142857142857143,0.0,6-12
25,27,4.444444444444445,54,12,15,0.07407407407407407,0.14814814814814814,0.25925925925925924,1.3471506281091268,0.9525793444156804,0.5904145830538073,0.48148148148148145,0.0,6-12
26,20,5.4,47,6,14,0.2,0.2,0.3,1.3416407864998738,0.9486832980505138,0.5981040045018439,0.5,0.0,6-12
